
01.02armB  <  (87,251) (87,252) (88,252) (88,251) > 
30.21armG  <  (2610,3101) (2610,3102) (2611,3102) (2611,3101) > 
30.23armG  <  (2610,3401) (2610,3402) (2611,3402) (2611,3401) > 
30.25armG  <  (2610,3701) (2610,3702) (2611,3702) (2611,3701) > 
30.27armG  <  (2610,4001) (2610,4002) (2611,4002) (2611,4001) > 
30.29armG  <  (2610,4301) (2610,4302) (2611,4302) (2611,4301) > 
30.31armG  <  (2610,4601) (2610,4602) (2611,4602) (2611,4601) > 
30.33armG  <  (2610,4901) (2610,4902) (2611,4902) (2611,4901) > 
31.02armG  <  (2697,251) (2697,252) (2698,252) (2698,251) > 
31.04armG  <  (2697,551) (2697,552) (2698,552) (2698,551) > 
31.06armG  <  (2697,851) (2697,852) (2698,852) (2698,851) > 
31.08armG  <  (2697,1151) (2697,1152) (2698,1152) (2698,1151) > 
31.10armG  <  (2697,1451) (2697,1452) (2698,1452) (2698,1451) > 
31.12armG  <  (2697,1751) (2697,1752) (2698,1752) (2698,1751) > 
31.14armG  <  (2697,2051) (2697,2052) (2698,2052) (2698,2051) > 
31.16armG  <  (2697,2351) (2697,2352) (2698,2352) (2698,2351) > 
31.18armG  <  (2697,2651) (2697,2652) (2698,2652) (2698,2651) > 
31.20armG  <  (2697,2951) (2697,2952) (2698,2952) (2698,2951) > 
31.22armG  <  (2697,3251) (2697,3252) (2698,3252) (2698,3251) > 
31.24armG  <  (2697,3551) (2697,3552) (2698,3552) (2698,3551) > 
31.26armG  <  (2697,3851) (2697,3852) (2698,3852) (2698,3851) > 
31.28armG  <  (2697,4151) (2697,4152) (2698,4152) (2698,4151) > 
31.30armG  <  (2697,4451) (2697,4452) (2698,4452) (2698,4451) > 
31.32armG  <  (2697,4751) (2697,4752) (2698,4752) (2698,4751) > 
31.34armG  <  (2697,5051) (2697,5052) (2698,5052) (2698,5051) > 
32.01armG  <  (2784,101) (2784,102) (2785,102) (2785,101) > 
32.03armG  <  (2784,401) (2784,402) (2785,402) (2785,401) > 
32.05armG  <  (2784,701) (2784,702) (2785,702) (2785,701) > 
32.07armG  <  (2784,1001) (2784,1002) (2785,1002) (2785,1001) > 
32.09armG  <  (2784,1301) (2784,1302) (2785,1302) (2785,1301) > 
32.11armG  <  (2784,1601) (2784,1602) (2785,1602) (2785,1601) > 
32.13armG  <  (2784,1901) (2784,1902) (2785,1902) (2785,1901) > 
32.15armG  <  (2784,2201) (2784,2202) (2785,2202) (2785,2201) > 
32.17armG  <  (2784,2501) (2784,2502) (2785,2502) (2785,2501) > 
32.19armG  <  (2784,2801) (2784,2802) (2785,2802) (2785,2801) > 
32.21armG  <  (2784,3101) (2784,3102) (2785,3102) (2785,3101) > 
32.23armG  <  (2784,3401) (2784,3402) (2785,3402) (2785,3401) > 
32.25armG  <  (2784,3701) (2784,3702) (2785,3702) (2785,3701) > 
32.27armG  <  (2784,4001) (2784,4002) (2785,4002) (2785,4001) > 
32.29armG  <  (2784,4301) (2784,4302) (2785,4302) (2785,4301) > 
32.31armG  <  (2784,4601) (2784,4602) (2785,4602) (2785,4601) > 
32.33armG  <  (2784,4901) (2784,4902) (2785,4902) (2785,4901) > 
33.02armG  <  (2871,251) (2871,252) (2872,252) (2872,251) > 
33.04armG  <  (2871,551) (2871,552) (2872,552) (2872,551) > 
33.06armG  <  (2871,851) (2871,852) (2872,852) (2872,851) > 
33.08armG  <  (2871,1151) (2871,1152) (2872,1152) (2872,1151) > 
33.10armG  <  (2871,1451) (2871,1452) (2872,1452) (2872,1451) > 
33.12armG  <  (2871,1751) (2871,1752) (2872,1752) (2872,1751) > 
33.14armG  <  (2871,2051) (2871,2052) (2872,2052) (2872,2051) > 
33.16armG  <  (2871,2351) (2871,2352) (2872,2352) (2872,2351) > 
33.18armG  <  (2871,2651) (2871,2652) (2872,2652) (2872,2651) > 
33.20armG  <  (2871,2951) (2871,2952) (2872,2952) (2872,2951) > 
33.22armG  <  (2871,3251) (2871,3252) (2872,3252) (2872,3251) > 
33.24armG  <  (2871,3551) (2871,3552) (2872,3552) (2872,3551) > 
33.26armG  <  (2871,3851) (2871,3852) (2872,3852) (2872,3851) > 
33.28armG  <  (2871,4151) (2871,4152) (2872,4152) (2872,4151) > 
33.30armG  <  (2871,4451) (2871,4452) (2872,4452) (2872,4451) > 
33.32armG  <  (2871,4751) (2871,4752) (2872,4752) (2872,4751) > 
33.34armG  <  (2871,5051) (2871,5052) (2872,5052) (2872,5051) > 
34.01armG  <  (2958,101) (2958,102) (2959,102) (2959,101) > 
34.03armG  <  (2958,401) (2958,402) (2959,402) (2959,401) > 
34.05armG  <  (2958,701) (2958,702) (2959,702) (2959,701) > 
34.07armG  <  (2958,1001) (2958,1002) (2959,1002) (2959,1001) > 
34.09armG  <  (2958,1301) (2958,1302) (2959,1302) (2959,1301) > 
34.11armG  <  (2958,1601) (2958,1602) (2959,1602) (2959,1601) > 
34.13armG  <  (2958,1901) (2958,1902) (2959,1902) (2959,1901) > 
34.15armG  <  (2958,2201) (2958,2202) (2959,2202) (2959,2201) > 
34.17armG  <  (2958,2501) (2958,2502) (2959,2502) (2959,2501) > 
34.19armG  <  (2958,2801) (2958,2802) (2959,2802) (2959,2801) > 
34.21armG  <  (2958,3101) (2958,3102) (2959,3102) (2959,3101) > 
34.23armG  <  (2958,3401) (2958,3402) (2959,3402) (2959,3401) > 
34.25armG  <  (2958,3701) (2958,3702) (2959,3702) (2959,3701) > 
34.27armG  <  (2958,4001) (2958,4002) (2959,4002) (2959,4001) > 
34.29armG  <  (2958,4301) (2958,4302) (2959,4302) (2959,4301) > 
34.31armG  <  (2958,4601) (2958,4602) (2959,4602) (2959,4601) > 
34.33armG  <  (2958,4901) (2958,4902) (2959,4902) (2959,4901) > 
35.02armG  <  (3045,251) (3045,252) (3046,252) (3046,251) > 
35.04armG  <  (3045,551) (3045,552) (3046,552) (3046,551) > 
35.06armG  <  (3045,851) (3045,852) (3046,852) (3046,851) > 
35.08armG  <  (3045,1151) (3045,1152) (3046,1152) (3046,1151) > 
35.10armG  <  (3045,1451) (3045,1452) (3046,1452) (3046,1451) > 
35.12armG  <  (3045,1751) (3045,1752) (3046,1752) (3046,1751) > 
35.14armG  <  (3045,2051) (3045,2052) (3046,2052) (3046,2051) > 
35.16armG  <  (3045,2351) (3045,2352) (3046,2352) (3046,2351) > 
35.18armG  <  (3045,2651) (3045,2652) (3046,2652) (3046,2651) > 
35.20armG  <  (3045,2951) (3045,2952) (3046,2952) (3046,2951) > 
35.22armG  <  (3045,3251) (3045,3252) (3046,3252) (3046,3251) > 
35.24armG  <  (3045,3551) (3045,3552) (3046,3552) (3046,3551) > 
35.26armG  <  (3045,3851) (3045,3852) (3046,3852) (3046,3851) > 
35.28armG  <  (3045,4151) (3045,4152) (3046,4152) (3046,4151) > 
35.30armG  <  (3045,4451) (3045,4452) (3046,4452) (3046,4451) > 
35.32armG  <  (3045,4751) (3045,4752) (3046,4752) (3046,4751) > 
35.34armG  <  (3045,5051) (3045,5052) (3046,5052) (3046,5051) > 
36.01armG  <  (3132,101) (3132,102) (3133,102) (3133,101) > 
36.03armG  <  (3132,401) (3132,402) (3133,402) (3133,401) > 
36.05armG  <  (3132,701) (3132,702) (3133,702) (3133,701) > 
36.07armG  <  (3132,1001) (3132,1002) (3133,1002) (3133,1001) > 
36.09armG  <  (3132,1301) (3132,1302) (3133,1302) (3133,1301) > 
36.11armG  <  (3132,1601) (3132,1602) (3133,1602) (3133,1601) > 
36.13armG  <  (3132,1901) (3132,1902) (3133,1902) (3133,1901) > 
36.15armG  <  (3132,2201) (3132,2202) (3133,2202) (3133,2201) > 
36.17armG  <  (3132,2501) (3132,2502) (3133,2502) (3133,2501) > 
36.19armG  <  (3132,2801) (3132,2802) (3133,2802) (3133,2801) > 
36.21armG  <  (3132,3101) (3132,3102) (3133,3102) (3133,3101) > 
36.23armG  <  (3132,3401) (3132,3402) (3133,3402) (3133,3401) > 
36.25armG  <  (3132,3701) (3132,3702) (3133,3702) (3133,3701) > 
36.27armG  <  (3132,4001) (3132,4002) (3133,4002) (3133,4001) > 
36.29armG  <  (3132,4301) (3132,4302) (3133,4302) (3133,4301) > 
36.31armG  <  (3132,4601) (3132,4602) (3133,4602) (3133,4601) > 
36.33armG  <  (3132,4901) (3132,4902) (3133,4902) (3133,4901) > 
37.02armG  <  (3219,251) (3219,252) (3220,252) (3220,251) > 
37.04armG  <  (3219,551) (3219,552) (3220,552) (3220,551) > 
37.06armG  <  (3219,851) (3219,852) (3220,852) (3220,851) > 
37.08armG  <  (3219,1151) (3219,1152) (3220,1152) (3220,1151) > 
37.10armG  <  (3219,1451) (3219,1452) (3220,1452) (3220,1451) > 
37.12armG  <  (3219,1751) (3219,1752) (3220,1752) (3220,1751) > 
37.14armG  <  (3219,2051) (3219,2052) (3220,2052) (3220,2051) > 
37.16armG  <  (3219,2351) (3219,2352) (3220,2352) (3220,2351) > 
37.18armG  <  (3219,2651) (3219,2652) (3220,2652) (3220,2651) > 
37.20armG  <  (3219,2951) (3219,2952) (3220,2952) (3220,2951) > 
37.22armG  <  (3219,3251) (3219,3252) (3220,3252) (3220,3251) > 
37.24armG  <  (3219,3551) (3219,3552) (3220,3552) (3220,3551) > 
37.26armG  <  (3219,3851) (3219,3852) (3220,3852) (3220,3851) > 
37.28armG  <  (3219,4151) (3219,4152) (3220,4152) (3220,4151) > 
37.30armG  <  (3219,4451) (3219,4452) (3220,4452) (3220,4451) > 
37.32armG  <  (3219,4751) (3219,4752) (3220,4752) (3220,4751) > 
37.34armG  <  (3219,5051) (3219,5052) (3220,5052) (3220,5051) > 
38.01armG  <  (3306,101) (3306,102) (3307,102) (3307,101) > 
38.03armG  <  (3306,401) (3306,402) (3307,402) (3307,401) > 
38.05armG  <  (3306,701) (3306,702) (3307,702) (3307,701) > 
38.07armG  <  (3306,1001) (3306,1002) (3307,1002) (3307,1001) > 
38.09armG  <  (3306,1301) (3306,1302) (3307,1302) (3307,1301) > 
38.11armG  <  (3306,1601) (3306,1602) (3307,1602) (3307,1601) > 
38.13armG  <  (3306,1901) (3306,1902) (3307,1902) (3307,1901) > 
38.15armG  <  (3306,2201) (3306,2202) (3307,2202) (3307,2201) > 
38.17armG  <  (3306,2501) (3306,2502) (3307,2502) (3307,2501) > 
38.19armG  <  (3306,2801) (3306,2802) (3307,2802) (3307,2801) > 
38.21armG  <  (3306,3101) (3306,3102) (3307,3102) (3307,3101) > 
38.23armG  <  (3306,3401) (3306,3402) (3307,3402) (3307,3401) > 
38.25armG  <  (3306,3701) (3306,3702) (3307,3702) (3307,3701) > 
38.27armG  <  (3306,4001) (3306,4002) (3307,4002) (3307,4001) > 
38.29armG  <  (3306,4301) (3306,4302) (3307,4302) (3307,4301) > 
38.31armG  <  (3306,4601) (3306,4602) (3307,4602) (3307,4601) > 
38.33armG  <  (3306,4901) (3306,4902) (3307,4902) (3307,4901) > 
39.02armG  <  (3393,251) (3393,252) (3394,252) (3394,251) > 
39.04armG  <  (3393,551) (3393,552) (3394,552) (3394,551) > 
39.06armG  <  (3393,851) (3393,852) (3394,852) (3394,851) > 
39.08armG  <  (3393,1151) (3393,1152) (3394,1152) (3394,1151) > 
39.10armG  <  (3393,1451) (3393,1452) (3394,1452) (3394,1451) > 
39.12armG  <  (3393,1751) (3393,1752) (3394,1752) (3394,1751) > 
39.14armG  <  (3393,2051) (3393,2052) (3394,2052) (3394,2051) > 
39.16armG  <  (3393,2351) (3393,2352) (3394,2352) (3394,2351) > 
39.18armG  <  (3393,2651) (3393,2652) (3394,2652) (3394,2651) > 
39.20armG  <  (3393,2951) (3393,2952) (3394,2952) (3394,2951) > 
39.22armG  <  (3393,3251) (3393,3252) (3394,3252) (3394,3251) > 
39.24armG  <  (3393,3551) (3393,3552) (3394,3552) (3394,3551) > 
39.26armG  <  (3393,3851) (3393,3852) (3394,3852) (3394,3851) > 
39.28armG  <  (3393,4151) (3393,4152) (3394,4152) (3394,4151) > 
39.30armG  <  (3393,4451) (3393,4452) (3394,4452) (3394,4451) > 
39.32armG  <  (3393,4751) (3393,4752) (3394,4752) (3394,4751) > 
39.34armG  <  (3393,5051) (3393,5052) (3394,5052) (3394,5051) > 
40.01armG  <  (3480,101) (3480,102) (3481,102) (3481,101) > 
40.03armG  <  (3480,401) (3480,402) (3481,402) (3481,401) > 
40.05armG  <  (3480,701) (3480,702) (3481,702) (3481,701) > 
40.07armG  <  (3480,1001) (3480,1002) (3481,1002) (3481,1001) > 
40.09armG  <  (3480,1301) (3480,1302) (3481,1302) (3481,1301) > 
40.11armG  <  (3480,1601) (3480,1602) (3481,1602) (3481,1601) > 
40.13armG  <  (3480,1901) (3480,1902) (3481,1902) (3481,1901) > 
40.15armG  <  (3480,2201) (3480,2202) (3481,2202) (3481,2201) > 
40.17armG  <  (3480,2501) (3480,2502) (3481,2502) (3481,2501) > 
40.19armG  <  (3480,2801) (3480,2802) (3481,2802) (3481,2801) > 
40.21armG  <  (3480,3101) (3480,3102) (3481,3102) (3481,3101) > 
40.23armG  <  (3480,3401) (3480,3402) (3481,3402) (3481,3401) > 
40.25armG  <  (3480,3701) (3480,3702) (3481,3702) (3481,3701) > 
40.27armG  <  (3480,4001) (3480,4002) (3481,4002) (3481,4001) > 
40.29armG  <  (3480,4301) (3480,4302) (3481,4302) (3481,4301) > 
40.31armG  <  (3480,4601) (3480,4602) (3481,4602) (3481,4601) > 
40.33armG  <  (3480,4901) (3480,4902) (3481,4902) (3481,4901) > 
41.02armG  <  (3567,251) (3567,252) (3568,252) (3568,251) > 
41.04armG  <  (3567,551) (3567,552) (3568,552) (3568,551) > 
41.06armG  <  (3567,851) (3567,852) (3568,852) (3568,851) > 
41.08armG  <  (3567,1151) (3567,1152) (3568,1152) (3568,1151) > 
41.10armG  <  (3567,1451) (3567,1452) (3568,1452) (3568,1451) > 
41.12armG  <  (3567,1751) (3567,1752) (3568,1752) (3568,1751) > 
41.14armG  <  (3567,2051) (3567,2052) (3568,2052) (3568,2051) > 
41.16armG  <  (3567,2351) (3567,2352) (3568,2352) (3568,2351) > 
41.18armG  <  (3567,2651) (3567,2652) (3568,2652) (3568,2651) > 
41.20armG  <  (3567,2951) (3567,2952) (3568,2952) (3568,2951) > 
41.22armG  <  (3567,3251) (3567,3252) (3568,3252) (3568,3251) > 
41.24armG  <  (3567,3551) (3567,3552) (3568,3552) (3568,3551) > 
41.26armG  <  (3567,3851) (3567,3852) (3568,3852) (3568,3851) > 
41.28armG  <  (3567,4151) (3567,4152) (3568,4152) (3568,4151) > 
41.30armG  <  (3567,4451) (3567,4452) (3568,4452) (3568,4451) > 
41.32armG  <  (3567,4751) (3567,4752) (3568,4752) (3568,4751) > 
41.34armG  <  (3567,5051) (3567,5052) (3568,5052) (3568,5051) > 
42.01armG  <  (3654,101) (3654,102) (3655,102) (3655,101) > 
42.03armG  <  (3654,401) (3654,402) (3655,402) (3655,401) > 
42.05armG  <  (3654,701) (3654,702) (3655,702) (3655,701) > 
42.07armG  <  (3654,1001) (3654,1002) (3655,1002) (3655,1001) > 
42.09armG  <  (3654,1301) (3654,1302) (3655,1302) (3655,1301) > 
42.11armG  <  (3654,1601) (3654,1602) (3655,1602) (3655,1601) > 
42.13armG  <  (3654,1901) (3654,1902) (3655,1902) (3655,1901) > 
42.15armG  <  (3654,2201) (3654,2202) (3655,2202) (3655,2201) > 
42.17armG  <  (3654,2501) (3654,2502) (3655,2502) (3655,2501) > 
42.19armG  <  (3654,2801) (3654,2802) (3655,2802) (3655,2801) > 
42.21armG  <  (3654,3101) (3654,3102) (3655,3102) (3655,3101) > 
42.23armG  <  (3654,3401) (3654,3402) (3655,3402) (3655,3401) > 
42.25armG  <  (3654,3701) (3654,3702) (3655,3702) (3655,3701) > 
42.27armG  <  (3654,4001) (3654,4002) (3655,4002) (3655,4001) > 
42.29armG  <  (3654,4301) (3654,4302) (3655,4302) (3655,4301) > 
42.31armG  <  (3654,4601) (3654,4602) (3655,4602) (3655,4601) > 
42.33armG  <  (3654,4901) (3654,4902) (3655,4902) (3655,4901) > 
43.02armG  <  (3741,251) (3741,252) (3742,252) (3742,251) > 
43.04armG  <  (3741,551) (3741,552) (3742,552) (3742,551) > 
43.06armG  <  (3741,851) (3741,852) (3742,852) (3742,851) > 
43.08armG  <  (3741,1151) (3741,1152) (3742,1152) (3742,1151) > 
43.10armG  <  (3741,1451) (3741,1452) (3742,1452) (3742,1451) > 
43.12armG  <  (3741,1751) (3741,1752) (3742,1752) (3742,1751) > 
43.14armG  <  (3741,2051) (3741,2052) (3742,2052) (3742,2051) > 
43.16armG  <  (3741,2351) (3741,2352) (3742,2352) (3742,2351) > 
43.18armG  <  (3741,2651) (3741,2652) (3742,2652) (3742,2651) > 
43.20armG  <  (3741,2951) (3741,2952) (3742,2952) (3742,2951) > 
43.22armG  <  (3741,3251) (3741,3252) (3742,3252) (3742,3251) > 
43.24armG  <  (3741,3551) (3741,3552) (3742,3552) (3742,3551) > 
43.26armG  <  (3741,3851) (3741,3852) (3742,3852) (3742,3851) > 
43.28armG  <  (3741,4151) (3741,4152) (3742,4152) (3742,4151) > 
43.30armG  <  (3741,4451) (3741,4452) (3742,4452) (3742,4451) > 
43.32armG  <  (3741,4751) (3741,4752) (3742,4752) (3742,4751) > 
43.34armG  <  (3741,5051) (3741,5052) (3742,5052) (3742,5051) > 
44.01armG  <  (3828,101) (3828,102) (3829,102) (3829,101) > 
44.03armG  <  (3828,401) (3828,402) (3829,402) (3829,401) > 
44.05armG  <  (3828,701) (3828,702) (3829,702) (3829,701) > 
44.07armG  <  (3828,1001) (3828,1002) (3829,1002) (3829,1001) > 
44.09armG  <  (3828,1301) (3828,1302) (3829,1302) (3829,1301) > 
44.11armG  <  (3828,1601) (3828,1602) (3829,1602) (3829,1601) > 
44.13armG  <  (3828,1901) (3828,1902) (3829,1902) (3829,1901) > 
44.15armG  <  (3828,2201) (3828,2202) (3829,2202) (3829,2201) > 
44.17armG  <  (3828,2501) (3828,2502) (3829,2502) (3829,2501) > 
44.19armG  <  (3828,2801) (3828,2802) (3829,2802) (3829,2801) > 
44.21armG  <  (3828,3101) (3828,3102) (3829,3102) (3829,3101) > 
44.23armG  <  (3828,3401) (3828,3402) (3829,3402) (3829,3401) > 
44.25armG  <  (3828,3701) (3828,3702) (3829,3702) (3829,3701) > 
44.27armG  <  (3828,4001) (3828,4002) (3829,4002) (3829,4001) > 
44.29armG  <  (3828,4301) (3828,4302) (3829,4302) (3829,4301) > 
44.31armG  <  (3828,4601) (3828,4602) (3829,4602) (3829,4601) > 
44.33armG  <  (3828,4901) (3828,4902) (3829,4902) (3829,4901) > 
45.02armG  <  (3915,251) (3915,252) (3916,252) (3916,251) > 
45.04armG  <  (3915,551) (3915,552) (3916,552) (3916,551) > 
45.06armG  <  (3915,851) (3915,852) (3916,852) (3916,851) > 
45.08armG  <  (3915,1151) (3915,1152) (3916,1152) (3916,1151) > 
45.10armG  <  (3915,1451) (3915,1452) (3916,1452) (3916,1451) > 
45.12armG  <  (3915,1751) (3915,1752) (3916,1752) (3916,1751) > 
45.14armG  <  (3915,2051) (3915,2052) (3916,2052) (3916,2051) > 
45.16armG  <  (3915,2351) (3915,2352) (3916,2352) (3916,2351) > 
45.18armG  <  (3915,2651) (3915,2652) (3916,2652) (3916,2651) > 
45.20armG  <  (3915,2951) (3915,2952) (3916,2952) (3916,2951) > 
45.22armG  <  (3915,3251) (3915,3252) (3916,3252) (3916,3251) > 
45.24armG  <  (3915,3551) (3915,3552) (3916,3552) (3916,3551) > 
45.26armG  <  (3915,3851) (3915,3852) (3916,3852) (3916,3851) > 
45.28armG  <  (3915,4151) (3915,4152) (3916,4152) (3916,4151) > 
45.30armG  <  (3915,4451) (3915,4452) (3916,4452) (3916,4451) > 
45.32armG  <  (3915,4751) (3915,4752) (3916,4752) (3916,4751) > 
45.34armG  <  (3915,5051) (3915,5052) (3916,5052) (3916,5051) > 
46.01armG  <  (4002,101) (4002,102) (4003,102) (4003,101) > 
46.03armG  <  (4002,401) (4002,402) (4003,402) (4003,401) > 
46.05armG  <  (4002,701) (4002,702) (4003,702) (4003,701) > 
46.07armG  <  (4002,1001) (4002,1002) (4003,1002) (4003,1001) > 
46.09armG  <  (4002,1301) (4002,1302) (4003,1302) (4003,1301) > 
46.11armG  <  (4002,1601) (4002,1602) (4003,1602) (4003,1601) > 
46.13armG  <  (4002,1901) (4002,1902) (4003,1902) (4003,1901) > 
46.15armG  <  (4002,2201) (4002,2202) (4003,2202) (4003,2201) > 
46.17armG  <  (4002,2501) (4002,2502) (4003,2502) (4003,2501) > 
46.19armG  <  (4002,2801) (4002,2802) (4003,2802) (4003,2801) > 
46.21armG  <  (4002,3101) (4002,3102) (4003,3102) (4003,3101) > 
46.23armG  <  (4002,3401) (4002,3402) (4003,3402) (4003,3401) > 
46.25armG  <  (4002,3701) (4002,3702) (4003,3702) (4003,3701) > 
46.27armG  <  (4002,4001) (4002,4002) (4003,4002) (4003,4001) > 
46.29armG  <  (4002,4301) (4002,4302) (4003,4302) (4003,4301) > 
46.31armG  <  (4002,4601) (4002,4602) (4003,4602) (4003,4601) > 
46.33armG  <  (4002,4901) (4002,4902) (4003,4902) (4003,4901) > 
47.02armG  <  (4089,251) (4089,252) (4090,252) (4090,251) > 
47.04armG  <  (4089,551) (4089,552) (4090,552) (4090,551) > 
47.06armG  <  (4089,851) (4089,852) (4090,852) (4090,851) > 
47.08armG  <  (4089,1151) (4089,1152) (4090,1152) (4090,1151) > 
47.10armG  <  (4089,1451) (4089,1452) (4090,1452) (4090,1451) > 
47.12armG  <  (4089,1751) (4089,1752) (4090,1752) (4090,1751) > 
47.14armG  <  (4089,2051) (4089,2052) (4090,2052) (4090,2051) > 
47.16armG  <  (4089,2351) (4089,2352) (4090,2352) (4090,2351) > 
47.18armG  <  (4089,2651) (4089,2652) (4090,2652) (4090,2651) > 
47.20armG  <  (4089,2951) (4089,2952) (4090,2952) (4090,2951) > 
47.22armG  <  (4089,3251) (4089,3252) (4090,3252) (4090,3251) > 
47.24armG  <  (4089,3551) (4089,3552) (4090,3552) (4090,3551) > 
47.26armG  <  (4089,3851) (4089,3852) (4090,3852) (4090,3851) > 
47.28armG  <  (4089,4151) (4089,4152) (4090,4152) (4090,4151) > 
47.30armG  <  (4089,4451) (4089,4452) (4090,4452) (4090,4451) > 
47.32armG  <  (4089,4751) (4089,4752) (4090,4752) (4090,4751) > 
47.34armG  <  (4089,5051) (4089,5052) (4090,5052) (4090,5051) > 
48.01armG  <  (4150,105) (4150,106) (4151,106) (4151,105) > 
48.03armG  <  (4176,401) (4176,402) (4177,402) (4177,401) > 
48.05armG  <  (4176,701) (4176,702) (4177,702) (4177,701) > 
48.07armG  <  (4176,1001) (4176,1002) (4177,1002) (4177,1001) > 
48.09armG  <  (4176,1301) (4176,1302) (4177,1302) (4177,1301) > 
48.11armG  <  (4176,1601) (4176,1602) (4177,1602) (4177,1601) > 
48.13armG  <  (4176,1901) (4176,1902) (4177,1902) (4177,1901) > 
48.15armG  <  (4176,2201) (4176,2202) (4177,2202) (4177,2201) > 
48.17armG  <  (4176,2501) (4176,2502) (4177,2502) (4177,2501) > 
48.19armG  <  (4176,2801) (4176,2802) (4177,2802) (4177,2801) > 
48.21armG  <  (4176,3101) (4176,3102) (4177,3102) (4177,3101) > 
48.23armG  <  (4176,3401) (4176,3402) (4177,3402) (4177,3401) > 
48.25armG  <  (4176,3701) (4176,3702) (4177,3702) (4177,3701) > 
48.27armG  <  (4176,4001) (4176,4002) (4177,4002) (4177,4001) > 
48.29armG  <  (4176,4301) (4176,4302) (4177,4302) (4177,4301) > 
48.31armG  <  (4176,4601) (4176,4602) (4177,4602) (4177,4601) > 
48.33armG  <  (4176,4901) (4176,4902) (4177,4902) (4177,4901) > 
49.02armG  <  (4263,251) (4263,252) (4264,252) (4264,251) > 
49.04armG  <  (4263,551) (4263,552) (4264,552) (4264,551) > 
49.06armG  <  (4263,851) (4263,852) (4264,852) (4264,851) > 
49.08armG  <  (4263,1151) (4263,1152) (4264,1152) (4264,1151) > 
49.10armG  <  (4263,1451) (4263,1452) (4264,1452) (4264,1451) > 
49.12armG  <  (4263,1751) (4263,1752) (4264,1752) (4264,1751) > 
49.14armG  <  (4263,2051) (4263,2052) (4264,2052) (4264,2051) > 
49.16armG  <  (4263,2351) (4263,2352) (4264,2352) (4264,2351) > 
49.18armG  <  (4263,2651) (4263,2652) (4264,2652) (4264,2651) > 
49.20armG  <  (4263,2951) (4263,2952) (4264,2952) (4264,2951) > 
49.22armG  <  (4263,3251) (4263,3252) (4264,3252) (4264,3251) > 
49.24armG  <  (4263,3551) (4263,3552) (4264,3552) (4264,3551) > 
49.26armG  <  (4263,3851) (4263,3852) (4264,3852) (4264,3851) > 
49.28armG  <  (4263,4151) (4263,4152) (4264,4152) (4264,4151) > 
49.30armG  <  (4263,4451) (4263,4452) (4264,4452) (4264,4451) > 
49.32armG  <  (4263,4751) (4263,4752) (4264,4752) (4264,4751) > 
49.34armG  <  (4247,5029) (4247,5030) (4248,5030) (4248,5029) > 
50.03armG  <  (4350,401) (4350,402) (4351,402) (4351,401) > 
50.05armG  <  (4350,701) (4350,702) (4351,702) (4351,701) > 
50.07armG  <  (4350,1001) (4350,1002) (4351,1002) (4351,1001) > 
50.09armG  <  (4350,1301) (4350,1302) (4351,1302) (4351,1301) > 
50.11armG  <  (4350,1601) (4350,1602) (4351,1602) (4351,1601) > 
50.13armG  <  (4350,1901) (4350,1902) (4351,1902) (4351,1901) > 
50.15armG  <  (4350,2201) (4350,2202) (4351,2202) (4351,2201) > 
50.17armG  <  (4350,2501) (4350,2502) (4351,2502) (4351,2501) > 
50.19armG  <  (4350,2801) (4350,2802) (4351,2802) (4351,2801) > 
50.21armG  <  (4350,3101) (4350,3102) (4351,3102) (4351,3101) > 
50.23armG  <  (4350,3401) (4350,3402) (4351,3402) (4351,3401) > 
50.25armG  <  (4350,3701) (4350,3702) (4351,3702) (4351,3701) > 
50.27armG  <  (4350,4001) (4350,4002) (4351,4002) (4351,4001) > 
50.29armG  <  (4350,4301) (4350,4302) (4351,4302) (4351,4301) > 
50.31armG  <  (4350,4601) (4350,4602) (4351,4602) (4351,4601) > 
50.33armG  <  (4350,4901) (4350,4902) (4351,4902) (4351,4901) > 
51.02armG  <  (4405,274) (4405,275) (4406,275) (4406,274) > 
51.04armG  <  (4437,551) (4437,552) (4438,552) (4438,551) > 
51.06armG  <  (4437,851) (4437,852) (4438,852) (4438,851) > 
51.08armG  <  (4437,1151) (4437,1152) (4438,1152) (4438,1151) > 
51.10armG  <  (4437,1451) (4437,1452) (4438,1452) (4438,1451) > 
51.12armG  <  (4437,1751) (4437,1752) (4438,1752) (4438,1751) > 
51.14armG  <  (4437,2051) (4437,2052) (4438,2052) (4438,2051) > 
51.16armG  <  (4437,2351) (4437,2352) (4438,2352) (4438,2351) > 
51.18armG  <  (4437,2651) (4437,2652) (4438,2652) (4438,2651) > 
51.20armG  <  (4437,2951) (4437,2952) (4438,2952) (4438,2951) > 
51.22armG  <  (4437,3251) (4437,3252) (4438,3252) (4438,3251) > 
51.24armG  <  (4437,3551) (4437,3552) (4438,3552) (4438,3551) > 
51.26armG  <  (4437,3851) (4437,3852) (4438,3852) (4438,3851) > 
51.28armG  <  (4437,4151) (4437,4152) (4438,4152) (4438,4151) > 
51.30armG  <  (4437,4451) (4437,4452) (4438,4452) (4438,4451) > 
51.32armG  <  (4437,4751) (4437,4752) (4438,4752) (4438,4751) > 
51.34armG  <  (4445,5018) (4445,5019) (4446,5019) (4446,5018) > 
52.03armG  <  (4524,401) (4524,402) (4525,402) (4525,401) > 
